Date,Open,High,Low,Close,Adj Close,Volume
2020-07-29,127.87,131.77,127.86,129.47,129.031147344,379729
2020-07-30,125.51,139.28,124.13,139.07,138.5986071,621243
2020-07-31,134.72,138.98,134.63,138.52,138.050471385,491802
2020-08-03,138.67,144.6,137.57,143.66,143.173048795,293900
2020-08-04,143.66,145.26,142.44,145.03,144.538405031,174698
2020-08-05,146.77,147.655,142.23,147.34,146.840575035,261164
2020-08-06,148.06,161.32,147.225,160.16,159.617120249,445612
2020-08-07,158.66,164.36,157.16,162.72,162.168442851,277996
2020-08-10,164.4,165.5,160.6201,161.41,160.862883238,278594
2020-08-11,164.93,174.45,164.2581,169.98,169.403834291,513234
2020-08-12,172.56,175.27,166.04,170.63,170.051631045,346774
2020-08-13,171.13,177.631,168.57,173.12,172.533190919,243805
2020-08-14,170.52,175.357,168.56,173.94,173.35041144,117603
2020-08-17,174.25,176.53,171.44,174.89,174.297191311,159327
2020-08-18,174.1,178.66,172.0,175.46,174.865259234,184675
2020-08-19,175.01,178.41,174.27,174.51,173.918479363,280082
2020-08-20,171.45,176.41,171.45,173.21,172.622885854,152824
2020-08-21,173.73,176.7,172.46,174.23,173.639428453,159520
2020-08-24,173.34,173.68,169.7,172.54,171.955156892,171576
2020-08-25,174.32,174.72,169.71,170.01,169.433732602,225867
2020-08-26,169.68,175.69,166.925,171.97,171.387088969,237222
2020-08-27,173.97,179.36,173.97,178.05,177.446480147,258620
2020-08-28,179.73,183.34,177.75,177.95,177.346819108,241588
2020-08-31,177.68,177.68,173.77,174.76,174.16763196,288998
2020-09-01,173.72,179.53,172.8847,177.76,177.157463134,141335
2020-09-02,178.51,181.28,177.245,180.29,179.678887424,200216
2020-09-03,180.0,180.01,170.87,172.92,172.333868841,184178
2020-09-04,176.93,178.954,167.0559,173.08,172.493326503,177386
2020-09-08,169.75,177.41,168.93,172.0,171.416987281,179912
2020-09-09,173.72,178.175,170.7325,176.43,175.831971314,278066
2020-09-10,167.08,182.055,167.08,169.96,169.383902083,350995
2020-09-11,171.98,172.715,162.44,163.32,162.766409085,230926
2020-09-14,163.15,168.02,161.7533,166.62,166.055223376,188912
2020-09-15,169.44,169.66,163.38,164.08,163.523832983,151526
2020-09-16,164.71,169.48,160.63,164.58,164.022138178,275383
2020-09-17,164.0,164.205,158.13,161.7,161.151900252,325035
2020-09-18,163.76,165.4224,156.04,158.31,157.773391026,564858
2020-09-21,153.18,154.63,150.0,154.44,153.916508812,324376
2020-09-22,155.55,163.58,155.55,163.21,162.656781942,184420
2020-09-23,162.68,165.84,162.67,164.44,163.882612724,318334
2020-09-24,165.1,165.1,147.2,148.42,147.916914257,667141
2020-09-25,153.58,170.746,153.0,169.72,169.144715589,694394
2020-09-28,172.03,177.0,169.91,174.25,173.659360661,336420
2020-09-29,174.29,176.0,165.96,165.96,165.397460518,315525
2020-09-30,166.94,170.2,162.01,163.82,163.264714281,324665
2020-10-01,164.77,170.81,164.045,169.93,169.354003771,286386
2020-10-02,163.93,172.55,162.805,171.2,170.619698968,164252
2020-10-05,173.32,173.32,168.59,171.34,170.759224423,219216
2020-10-06,173.83,177.55,167.78,168.58,168.008579743,478294
2020-10-07,170.96,175.85,168.685,173.34,172.752445205,814781
2020-10-08,176.34,177.57,170.85,175.96,175.36356443,233265
2020-10-09,178.0,178.0,169.35,170.68,170.101461564,379694
2020-10-12,170.88,174.22,170.83,173.54,172.951767283,187274
2020-10-13,169.45,175.0,169.0,172.54,171.955156892,184601
2020-10-14,172.8,175.97,170.465,170.84,170.260919227,190267
2020-10-15,169.52,174.18,167.34,173.6,173.011563907,183682
2020-10-16,173.49,176.5,171.86,173.96,173.370343647,159007
2020-10-19,174.81,176.27,168.14,169.24,168.666342601,127964
2020-10-20,169.81,172.8,169.0,169.4,168.825800264,148767
2020-10-21,170.0,171.72,166.92,167.14,166.57346078,149311
2020-10-22,168.13,173.15,168.13,171.83,171.247563514,175996
2020-10-23,173.3,174.77,170.635,173.21,172.622885854,90588
2020-10-26,169.58,171.53,165.73,169.49,168.915495199,263062
2020-10-27,169.71,169.71,162.71,164.17,163.613527918,142260
2020-10-28,159.35,164.415,157.57,159.56,159.019154015,367152
2020-10-29,161.9,163.75,151.385,153.37,152.850135693,363946
2020-10-30,152.13,154.89,147.06,149.15,148.644439843,289370
2020-11-02,149.6,153.6994,149.15,153.05,152.531220368,223910
2020-11-03,156.7,164.46,156.7,163.59,163.035493891,212461
2020-11-04,160.3,167.57,160.3,165.29,164.729731556,180739
2020-11-05,166.17,172.5,166.17,171.81,171.227631306,153100
2020-11-06,173.59,173.59,167.805,167.94,167.370749093,156769
2020-11-09,180.68,203.17,179.0,180.33,179.718751839,494478
2020-11-10,183.5,187.5465,179.75,182.06,181.442887816,224215
2020-11-11,182.62,183.51,174.81,179.67,179.060988981,179516
2020-11-12,176.91,183.255,174.36,176.7,176.101056119,177159
2020-11-13,176.95,182.445,176.72,180.85,180.236989243,251535
2020-11-16,184.97,189.79,181.665,185.04,184.412786782,255831
2020-11-17,181.92,185.74,180.31,182.71,182.09068457,177355
2020-11-18,183.26,184.935,179.54,180.47,179.858277294,208803
2020-11-19,180.72,187.64,179.51,187.4,186.764787305,204427
2020-11-20,183.42,190.15,183.42,186.57,185.93760068,217517
2020-11-23,188.55,190.35,185.21,186.87,186.236583797,205201
2020-11-24,190.37,191.5,185.93,186.18,185.548922628,306254
2020-11-25,187.11,187.855,184.5977,185.22,184.592176652,154780
2020-11-27,185.24,187.82,183.63,185.0,184.372922366,85070
2020-11-30,183.64,183.64,176.37,179.92,179.310141579,301661
2020-12-01,182.91,184.24,181.0,182.88,182.260108337,233817
2020-12-02,181.2,182.0,177.47,180.08,179.469599241,147479
2020-12-03,180.44,184.5,174.5252,182.88,182.88,115143
2020-12-04,184.9,189.51,182.63,189.29,189.29,140036
2020-12-07,189.89,192.38,188.155,191.93,191.93,196187
2020-12-08,190.48,196.155,188.83,194.92,194.92,226460
2020-12-09,197.45,198.95,192.2358,196.42,196.42,258210
2020-12-10,194.37,200.32,194.37,200.22,200.22,208575
2020-12-11,197.76,201.735,191.36,193.33,193.33,221794
2020-12-14,195.64,197.98,193.24,196.35,196.35,305284
2020-12-15,199.63,203.25,195.34,202.64,202.64,243085
2020-12-16,203.72,206.025,201.035,203.44,203.44,239523
2020-12-17,204.74,209.75,201.67,208.94,208.94,222487
2020-12-18,210.24,212.6,206.49,207.4,207.4,629309
2020-12-21,200.22,205.27,196.37,201.63,201.63,360812
2020-12-22,200.41,203.77,198.21,203.13,203.13,340625
